287,11 DE NOVIEMBRE
288,11 DE OCTUBRE
289,11 DE SEPTIEMBRE
290,11 DEL TEMOLUCO
291,11 DOLORES GUERRERO
292,11 ELVIRA VARGAS
293,11 ESTE
294,11 FRANCISCO J. MACIN
295,11 MANUELA SAENZ
296,11 MARTIRES
297,11 NORTE
298,11 ORIENTE
299,11 PONIENTE
300,11 PUEBLOS
301,11 SUR
302,11 SUR A
303,11 SUR B
304,11.5 NORTE
305,11.5 PONIENTE
306,110 DE RIO CHURUBUSCO
307,111 DE RIO CHURUBUSCO
308,114-A
309,1189 KILOMETRO 31.5
310,11A
311,11-A
312,11A.
313,11A. CERRADA CARLOS HANK GONZALEZ
314,11-B
315,11B PONIENTE
316,11VA DE PINO
317,12 (BRUNO MARTINEZ Z.)
318,12 (LATERAL)
319,12 1/2 NORTE
320,12 1/2 ORIENTE
321,12 1/2 SUR
322,12 -A
323,12 C
324,12 DE ABRIL
325,12 DE AGOSTO
326,12 DE AGOSTO DE 1875
327,12 DE DICIEMBRE
328,12 DE DICIEMBRE (LATERAL)
329,12 DE ENERO
330,12 DE FEBRERO
331,12 DE FEBRERO DE 1925 ORIENTE
332,12 DE FEBRERO DE 1925 PONIENTE
333,12 DE FEBRERO ORIENTE
334,12 DE JULIO
335,12 DE JULIO DE 1859
336,12 DE JUNIO
337,12 DE MARZO
338,12 DE MAYO
339,12 DE MAYO (BOLAÑOS CACHO)
340,12 DE NOVIEMBRE
341,12 DE OCT
342,12 DE OCTUBRE
343,12 DE OCTUBRE DE 1492
344,12 DE OCTUBRE NORTE
345,12 DE SEPTIEMBRE
346,12 DEL TEMOLUCO
347,12 DOLORES GUERRERO
348,12 ESTE
349,12 FERNANDO AMILPA
350,12 INDEPENDENCIA
351,12 LUIS YUREN
352,12 MARIQUITA SANCHEZ
353,12 METROS
354,12 NARCISO MENDOZA
355,12 NORTE
356,12 ORIENTE
357,12 PONIENTE
358,12 SUR
359,12 YUCATAN
360,12. DE SAN JOSE DE SAN MARTIN
361,12. MIGUEL HIDALGO
362,12. SIMON BOLIVAR
363,12.5 NORTE
364,12.5 ORIENTE
365,12.5 PONIENTE
366,12A
367,12-A
368,12A.
369,12A. CERRADA CARLOS HANK GONZALEZ
370,12-B
371,12-C
372,12-D
373,13 1/2 ORIENTE
374,13 1/2 SUR
375,13 A
376,13 AYUNTAMIENTO
377,13 B
378,13 C
379,13 CAFETALES
380,13 DE ABRIL
381,13 DE ABRIL DE 1920
382,13 DE AGOSTO
383,13 DE CORREGIDORA
384,13 DE DICIEMBRE
385,13 DE ENERO
386,13 DE FEBRERO
387,13 DE JULIO
388,13 DE JUNIO
389,13 DE JUNIO PONIENTE
390,13 DE MARZO
391,13 DE MAYO
392,13 DE NOVIEMBRE
393,13 DE OCTUBRE
394,13 DE SEPTIEMBRE
395,13 DE SEPTIEMBRE (2 DE ABRIL)
396,13 DE SEPTIEMBRE DE 1810
397,13 DEL TEMOLUCO
398,13 ELVIRA VARGAS
399,13 ESTE
400,13 FRANCISCO J. MACIN
401,13 MARIQUITA SANCHEZ
402,13 NORTE
403,13 ORIENTE
404,13 PONIENTE
405,13 SEGUNDA
406,13 SUR
407,13. SIMON BOLIVAR
408,13.5 NORTE
409,13.5 PONIENTE
410,13.5 SUR
411,132A
412,13A
413,13-A
414,13A.
415,13A. CERRADA CARLOS HANK GONZALEZ
416,13VA CERRADA EL POCITO
417,13VO DE PINO
418,14 (APOLONIO M. AVILES)
419,14 (MANUEL MENA)
420,14 1/2 ORIENTE
421,14 1/2 SUR
422,14 A
423,14 BIS
424,14 C
425,14 DE ABRIL
426,14 DE AGOSTO
427,14 DE CECILIO ROBELO
428,14 DE CORREGIDORA
429,14 DE DICIEMBRE
430,14 DE ENERO
431,14 DE FEBRERO
432,14 DE JULIO
433,14 DE JUNIO
434,14 DE MARZO
435,14 DE MAYO
436,14 DE NOVIEMBRE
437,14 DE OCTUBRE
438,14 DE SEPTIEMBRE
439,14 DEL TEMOLUCO
440,14 LUIS YUREN
441,14 MARIQUITA SANCHEZ
442,14 NICOLAS BRAVO
443,14 NORTE
444,14 NUEVA
445,14 ORIENTE
446,14 PONIENTE
447,14 SUR
448,14. MIGUEL HIDALGO
449,14.5 NORTE
450,14.5 SUR
451,146 C
452,14A
453,14-A
454,14A TULUM
455,14A.
456,14A. CERRADA CARLOS HANK GONZALEZ
457,14-B
458,14VA CERRADA EL POCITO
459,15 1/2 ORIENTE
460,15 1/2 SUR
461,15 CAFETALES
462,15 DE ABRIL
463,15 DE AGOSTO
464,15 DE AGOSTO DE 1937
465,15 DE CANAL NACIONAL
466,15 DE CORREGIDORA
467,15 DE DICIEMBRE
468,15 DE ENERO
469,15 DE ENERO DE 1876
470,15 DE FEBRERO
471,15 DE FEBRERO DE 1821
472,15 DE JULIO
473,15 DE JUNIO
474,15 DE JUNIO DE 1861
475,15 DE MARZO
476,15 DE MAYO
477,15 DE NOVIEMBRE
478,15 DE OCTUBRE
479,15 DE SEMPTIEMBRE
480,15 DE SEPT
481,15 DE SEPTIEMBRE
482,15 DE SEPTIEMBRE DE 1810
483,15 DEL TEMOLUCO
484,15 ELVIRA VARGAS
485,15 FRANCISCO J. MACIN
486,15 HIDALGO SUR
487,15 INDEPENDENCIA
488,15 LETRAS
489,15 NORTE
490,15 ORIENTE
491,15 PONIENTE
492,15 SUR
493,15.5 NORTE
494,15.5 PONIENTE
495,15-16
496,15A
497,15-A
499,15A. CERRADA CARLOS HANK GONZALEZ
500,15-B
